hostname,data_presence,node_power,cpu_power,gpu_power,mem_power,result_start_time,result_end_time
tioga23,FULL,118.47373333333334,118.47373333333334,0.0,0.0,1694731331209761,1694731389211894
tioga34,FULL,110.93883333333333,110.93883333333333,0.0,0.0,1694731331232582,1694731389235581
